cg08169020,chr14:68790171-68790172 - 2bp, 1CpGs: 20366646-20366647
cg25533943,chr17:45247956-45247957 - 2bp, 1CpGs: 23567734-23567735
cg10308906,chr15:89411760-89411761 - 2bp, 1CpGs: 21576067-21576068
cg18021161,chr15:76148107-76148108 - 2bp, 1CpGs: 21436018-21436019
cg24740818,chr15:76148064-76148065 - 2bp, 1CpGs: 21436012-21436013
cg08557928,chr15:76148102-76148103 - 2bp, 1CpGs: 21436017-21436018
cg18765439,chr11:65575872-65575873 - 2bp, 1CpGs: 17081843-17081844
cg02532488,chr11:65575870-65575871 - 2bp, 1CpGs: 17081842-17081843
cg15217978,chr11:65575859-65575860 - 2bp, 1CpGs: 17081841-17081842
cg18209835,chr7:6503483-6503484 - 2bp, 1CpGs: 10976011-10976012
cg03657573,chr3:183254538-183254539 - 2bp, 1CpGs: 6065042-6065043
cg07648238,chr12:6384098-6384099 - 2bp, 1CpGs: 17848077-17848078
cg10452531,chr12:6384112-6384113 - 2bp, 1CpGs: 17848079-17848080
cg08740698,chr12:6384104-6384105 - 2bp, 1CpGs: 17848078-17848079
cg17167852,chr1:55039516-55039517 - 2bp, 1CpGs: 816368-816369
cg09072162,chr1:55039507-55039508 - 2bp, 1CpGs: 816367-816368
cg25957967,chr1:55039475-55039476 - 2bp, 1CpGs: 816363-816364
cg15844835,chr5:141651575-141651576 - 2bp, 1CpGs: 8906116-8906117
cg09904383,chr5:141651558-141651559 - 2bp, 1CpGs: 8906114-8906115
cg08742288,chr5:141651580-141651581 - 2bp, 1CpGs: 8906117-8906118
cg12927498,chr5:141651555-141651556 - 2bp, 1CpGs: 8906113-8906114
cg08658621,chr10:132185783-132185784 - 2bp, 1CpGs: 16380834-16380835
cg24498031,chr15:40252849-40252850 - 2bp, 1CpGs: 21057594-21057595
cg01608788,chr22:44703027-44703028 - 2bp, 1CpGs: 27722319-27722320
cg20301722,chr1:43368220-43368221 - 2bp, 1CpGs: 686762-686763
cg08936794,chr1:43368202-43368203 - 2bp, 1CpGs: 686761-686762
cg15844835,chr5:141651575-141651576 - 2bp, 1CpGs: 8906116-8906117
cg09904383,chr5:141651558-141651559 - 2bp, 1CpGs: 8906114-8906115
cg08742288,chr5:141651580-141651581 - 2bp, 1CpGs: 8906117-8906118
cg12927498,chr5:141651555-141651556 - 2bp, 1CpGs: 8906113-8906114
cg17129986,chr17:50944660-50944661 - 2bp, 1CpGs: 23653857-23653858
cg04689080,chr22:45867327-45867328 - 2bp, 1CpGs: 27743635-27743636
cg08659394,chr16:67151015-67151016 - 2bp, 1CpGs: 22510689-22510690
cg05527491,chr16:67151042-67151043 - 2bp, 1CpGs: 22510691-22510692
cg06212637,chr16:67151050-67151051 - 2bp, 1CpGs: 22510693-22510694
cg23696132,chr19:45770513-45770514 - 2bp, 1CpGs: 25729846-25729847
cg22451358,chr17:57861510-57861511 - 2bp, 1CpGs: 23708150-23708151
cg10951120,chr20:49482711-49482712 - 2bp, 1CpGs: 26519836-26519837
cg20107759,chr19:12825677-12825678 - 2bp, 1CpGs: 25202938-25202939
cg07583894,chr19:12825698-12825699 - 2bp, 1CpGs: 25202939-25202940
cg22125968,chr13:42992336-42992337 - 2bp, 1CpGs: 19349703-19349704
cg01536987,chr13:42992356-42992357 - 2bp, 1CpGs: 19349704-19349705
cg12536502,chr19:45639415-45639416 - 2bp, 1CpGs: 25726177-25726178
cg07804711,chr19:45639389-45639390 - 2bp, 1CpGs: 25726174-25726175
cg00846114,chr16:67644943-67644944 - 2bp, 1CpGs: 22520306-22520307
cg03314195,chr16:67644923-67644924 - 2bp, 1CpGs: 22520303-22520304
cg11831003,chr11:5624799-5624800 - 2bp, 1CpGs: 16534359-16534360
cg24008544,chr17:43211880-43211881 - 2bp, 1CpGs: 23527596-23527597
cg03049782,chr17:43211872-43211873 - 2bp, 1CpGs: 23527595-23527596
cg25361023,chr12:53739869-53739870 - 2bp, 1CpGs: 18290259-18290260
cg10129665,chr12:53739834-53739835 - 2bp, 1CpGs: 18290255-18290256
cg22397520,chr1:43367916-43367917 - 2bp, 1CpGs: 686729-686730
cg24838029,chr1:43367944-43367945 - 2bp, 1CpGs: 686733-686734
cg24729481,chr1:43367929-43367930 - 2bp, 1CpGs: 686730-686731
cg10520349,chr10:3829042-3829043 - 2bp, 1CpGs: 15098856-15098857
cg15346168,chr14:24366988-24366989 - 2bp, 1CpGs: 20020299-20020300
cg25076767,chr14:24366942-24366943 - 2bp, 1CpGs: 20020295-20020296
cg17521583,chr4:128553463-128553464 - 2bp, 1CpGs: 7267501-7267502
cg07174665,chr4:128553439-128553440 - 2bp, 1CpGs: 7267499-7267500
cg01937701,chr14:23953663-23953664 - 2bp, 1CpGs: 20013234-20013235
cg05054115,chr14:23953628-23953629 - 2bp, 1CpGs: 20013230-20013231
cg25678052,chr8:143942459-143942460 - 2bp, 1CpGs: 13753152-13753153
cg08384314,chr6:30743903-30743904 - 2bp, 1CpGs: 9646540-9646541
cg20178172,chr6:30743878-30743879 - 2bp, 1CpGs: 9646539-9646540
cg17389738,chr6:30743865-30743866 - 2bp, 1CpGs: 9646537-9646538
cg19006429,chr6:30075548-30075549 - 2bp, 1CpGs: 9636874-9636875
cg22105332,chr6:30075516-30075517 - 2bp, 1CpGs: 9636871-9636872
cg05853632,chr6:30075496-30075497 - 2bp, 1CpGs: 9636869-9636870
cg10927841,chr2:26184874-26184875 - 2bp, 1CpGs: 2656022-2656023
cg26360792,chr2:42792857-42792858 - 2bp, 1CpGs: 2814849-2814850
cg27299406,chr2:42792873-42792874 - 2bp, 1CpGs: 2814850-2814851
cg00765428,chr21:33266333-33266334 - 2bp, 1CpGs: 27007091-27007092
cg07325233,chr21:33266357-33266358 - 2bp, 1CpGs: 27007094-27007095
cg19333963,chr19:1467980-1467981 - 2bp, 1CpGs: 24928913-24928914
cg03306486,chr19:1467953-1467954 - 2bp, 1CpGs: 24928911-24928912
cg01855735,chr3:101827865-101827866 - 2bp, 1CpGs: 5446927-5446928
cg26284390,chr3:101827853-101827854 - 2bp, 1CpGs: 5446925-5446926
cg09463900,chr19:12828773-12828774 - 2bp, 1CpGs: 25203057-25203058
cg19333963,chr19:1467980-1467981 - 2bp, 1CpGs: 24928913-24928914
cg03306486,chr19:1467953-1467954 - 2bp, 1CpGs: 24928911-24928912
cg10094078,chr19:1467926-1467927 - 2bp, 1CpGs: 24928909-24928910
cg18345115,chr19:10430802-10430803 - 2bp, 1CpGs: 25152266-25152267
cg22152407,chr20:23049809-23049810 - 2bp, 1CpGs: 26195862-26195863
cg25397597,chr20:23049805-23049806 - 2bp, 1CpGs: 26195861-26195862
cg03710719,chr19:35898893-35898894 - 2bp, 1CpGs: 25559069-25559070
cg27297851,chr19:35898931-35898932 - 2bp, 1CpGs: 25559073-25559074
cg15090202,chr1:26360596-26360597 - 2bp, 1CpGs: 461427-461428
cg04089426,chr11:65540320-65540321 - 2bp, 1CpGs: 17080655-17080656
cg01778114,chr2:216013224-216013225 - 2bp, 1CpGs: 4246584-4246585
cg12620499,chr2:216013261-216013262 - 2bp, 1CpGs: 4246586-4246587
cg11224362,chr1:39575821-39575822 - 2bp, 1CpGs: 640561-640562
cg23693289,chr8:27325580-27325581 - 2bp, 1CpGs: 12764917-12764918
cg27118059,chr21:31559158-31559159 - 2bp, 1CpGs: 26985464-26985465
cg13341720,chr19:6740877-6740878 - 2bp, 1CpGs: 25080665-25080666
cg06154084,chr10:101032492-101032493 - 2bp, 1CpGs: 16032598-16032599
cg17952661,chr1:146039241-146039242 - 2bp, 1CpGs: 1412919-1412920
cg04221886,chr2:43831955-43831956 - 2bp, 1CpGs: 2827096-2827097
cg02066638,chr16:87909432-87909433 - 2bp, 1CpGs: 22804271-22804272
cg07993547,chr19:18099387-18099388 - 2bp, 1CpGs: 25310472-25310473
cg23511432,chr5:138274566-138274567 - 2bp, 1CpGs: 8858126-8858127
cg02288341,chr5:138274537-138274538 - 2bp, 1CpGs: 8858125-8858126
cg16147221,chr4:10019010-10019011 - 2bp, 1CpGs: 6431688-6431689
cg21663580,chr6:43077033-43077034 - 2bp, 1CpGs: 9807473-9807474
cg19091677,chr4:173334367-173334368 - 2bp, 1CpGs: 7577206-7577207
cg11186122,chr4:173334343-173334344 - 2bp, 1CpGs: 7577204-7577205
cg07003632,chr14:99792992-99792993 - 2bp, 1CpGs: 20679242-20679243
cg14185025,chr14:99793004-99793005 - 2bp, 1CpGs: 20679243-20679244
cg04884842,chr14:75176375-75176376 - 2bp, 1CpGs: 20439404-20439405
cg18224445,chr1:223712991-223712992 - 2bp, 1CpGs: 2092197-2092198
cg16549711,chr1:207868542-207868543 - 2bp, 1CpGs: 1962651-1962652
cg11037818,chr1:207868534-207868535 - 2bp, 1CpGs: 1962650-1962651
cg22286978,chr19:58347440-58347441 - 2bp, 1CpGs: 25975330-25975331
cg05657618,chr2:232928022-232928023 - 2bp, 1CpGs: 4414893-4414894
cg04920951,chr11:67583800-67583801 - 2bp, 1CpGs: 17124828-17124829
cg15273066,chr12:49131350-49131351 - 2bp, 1CpGs: 18224248-18224249
cg13974409,chr11:65524836-65524837 - 2bp, 1CpGs: 17080134-17080135
cg10628098,chr11:65524829-65524830 - 2bp, 1CpGs: 17080132-17080133
cg03705926,chr19:6740941-6740942 - 2bp, 1CpGs: 25080670-25080671
cg11036831,chr10:80356626-80356627 - 2bp, 1CpGs: 15846810-15846811
cg11854806,chr10:80356609-80356610 - 2bp, 1CpGs: 15846808-15846809
cg13087076,chr10:80356649-80356650 - 2bp, 1CpGs: 15846813-15846814
cg16771783,chr10:80356636-80356637 - 2bp, 1CpGs: 15846811-15846812
cg03805475,chr22:46576604-46576605 - 2bp, 1CpGs: 27761883-27761884
cg22220467,chr19:42302076-42302077 - 2bp, 1CpGs: 25674940-25674941
cg00524108,chr19:42302051-42302052 - 2bp, 1CpGs: 25674938-25674939
cg04681368,chr19:42302032-42302033 - 2bp, 1CpGs: 25674935-25674936
cg10632000,chr19:42302049-42302050 - 2bp, 1CpGs: 25674937-25674938
cg09897416,chr1:149887702-149887703 - 2bp, 1CpGs: 1452053-1452054
cg11802864,chr11:65540774-65540775 - 2bp, 1CpGs: 17080701-17080702
cg02454890,chr15:90000783-90000784 - 2bp, 1CpGs: 21584914-21584915
cg00478874,chr6:33428458-33428459 - 2bp, 1CpGs: 9686850-9686851
cg18466911,chr6:33428486-33428487 - 2bp, 1CpGs: 9686852-9686853
cg11901544,chr6:33428470-33428471 - 2bp, 1CpGs: 9686851-9686852
cg03505346,chr6:33428448-33428449 - 2bp, 1CpGs: 9686849-9686850
cg06681810,chr6:33428518-33428519 - 2bp, 1CpGs: 9686854-9686855
cg24852032,chr6:33428446-33428447 - 2bp, 1CpGs: 9686848-9686849
cg04739306,chr7:100633158-100633159 - 2bp, 1CpGs: 11858676-11858677
cg05993306,chr5:137754960-137754961 - 2bp, 1CpGs: 8852465-8852466
cg01778114,chr2:216013224-216013225 - 2bp, 1CpGs: 4246584-4246585
cg12620499,chr2:216013261-216013262 - 2bp, 1CpGs: 4246586-4246587
cg03077836,chr2:9207163-9207164 - 2bp, 1CpGs: 2486173-2486174
cg20424833,chr5:177402638-177402639 - 2bp, 1CpGs: 9234530-9234531
cg11872300,chr19:42281073-42281074 - 2bp, 1CpGs: 25674275-25674276
cg26517849,chr11:2139911-2139912 - 2bp, 1CpGs: 16488291-16488292
cg10037494,chr11:2139905-2139906 - 2bp, 1CpGs: 16488290-16488291
cg05452899,chr11:2139903-2139904 - 2bp, 1CpGs: 16488289-16488290
cg01667319,chr11:2139898-2139899 - 2bp, 1CpGs: 16488288-16488289
cg05859777,chr11:2139872-2139873 - 2bp, 1CpGs: 16488286-16488287
cg15264710,chr6:33428391-33428392 - 2bp, 1CpGs: 9686845-9686846
cg23157971,chr6:33428383-33428384 - 2bp, 1CpGs: 9686843-9686844
cg22076972,chr19:6740801-6740802 - 2bp, 1CpGs: 25080657-25080658
cg03451296,chr14:105474054-105474055 - 2bp, 1CpGs: 20795759-20795760
cg23411981,chr14:105474040-105474041 - 2bp, 1CpGs: 20795756-20795757
cg09276315,chr19:47110814-47110815 - 2bp, 1CpGs: 25756401-25756402
cg15346168,chr14:24366988-24366989 - 2bp, 1CpGs: 20020299-20020300
cg25076767,chr14:24366942-24366943 - 2bp, 1CpGs: 20020295-20020296
cg26705574,chr14:24367013-24367014 - 2bp, 1CpGs: 20020301-20020302
cg00054525,chr16:88651179-88651180 - 2bp, 1CpGs: 22825547-22825548
cg08177833,chr16:88651129-88651130 - 2bp, 1CpGs: 22825544-22825545
cg06410591,chr19:6741170-6741171 - 2bp, 1CpGs: 25080687-25080688
cg13860006,chr19:6741167-6741168 - 2bp, 1CpGs: 25080686-25080687
cg07981910,chr9:121699133-121699134 - 2bp, 1CpGs: 14713067-14713068
cg05896042,chr19:11339414-11339415 - 2bp, 1CpGs: 25174556-25174557
cg15468521,chr10:101123586-101123587 - 2bp, 1CpGs: 16034168-16034169
cg16348316,chr2:127423749-127423750 - 2bp, 1CpGs: 3581061-3581062
cg09747827,chr2:127423737-127423738 - 2bp, 1CpGs: 3581059-3581060
cg05009389,chr15:89665579-89665580 - 2bp, 1CpGs: 21579539-21579540
cg11688275,chr8:127738625-127738626 - 2bp, 1CpGs: 13564485-13564486
cg18303215,chr2:43831864-43831865 - 2bp, 1CpGs: 2827088-2827089
cg12137206,chr10:112183639-112183640 - 2bp, 1CpGs: 16136210-16136211
cg04879832,chr16:88651048-88651049 - 2bp, 1CpGs: 22825534-22825535
cg08843517,chr16:88651056-88651057 - 2bp, 1CpGs: 22825535-22825536
cg03125427,chr16:88651074-88651075 - 2bp, 1CpGs: 22825538-22825539
cg03710719,chr19:35898893-35898894 - 2bp, 1CpGs: 25559069-25559070
cg27297851,chr19:35898931-35898932 - 2bp, 1CpGs: 25559073-25559074
cg01000657,chr19:24087666-24087667 - 2bp, 1CpGs: 25394383-25394384
cg19670286,chr5:138274438-138274439 - 2bp, 1CpGs: 8858112-8858113
cg19155007,chr3:183825776-183825777 - 2bp, 1CpGs: 6072847-6072848
cg09738156,chr3:183825799-183825800 - 2bp, 1CpGs: 6072850-6072851
cg08125401,chr15:74434116-74434117 - 2bp, 1CpGs: 21410607-21410608
cg26437123,chr15:74434082-74434083 - 2bp, 1CpGs: 21410605-21410606
cg06263834,chr15:74434128-74434129 - 2bp, 1CpGs: 21410608-21410609
cg00478874,chr6:33428458-33428459 - 2bp, 1CpGs: 9686850-9686851
cg18466911,chr6:33428486-33428487 - 2bp, 1CpGs: 9686852-9686853
cg11901544,chr6:33428470-33428471 - 2bp, 1CpGs: 9686851-9686852
cg03505346,chr6:33428448-33428449 - 2bp, 1CpGs: 9686849-9686850
cg24852032,chr6:33428446-33428447 - 2bp, 1CpGs: 9686848-9686849
cg10734734,chr19:58347655-58347656 - 2bp, 1CpGs: 25975358-25975359
cg19091677,chr4:173334367-173334368 - 2bp, 1CpGs: 7577206-7577207
cg11186122,chr4:173334343-173334344 - 2bp, 1CpGs: 7577204-7577205
cg07003632,chr14:99792992-99792993 - 2bp, 1CpGs: 20679242-20679243
cg14185025,chr14:99793004-99793005 - 2bp, 1CpGs: 20679243-20679244
cg11714334,chr22:39242087-39242088 - 2bp, 1CpGs: 27624057-27624058
cg16206460,chr19:15469889-15469890 - 2bp, 1CpGs: 25257905-25257906
cg07931411,chr19:15469910-15469911 - 2bp, 1CpGs: 25257909-25257910
cg26271110,chr1:206557302-206557303 - 2bp, 1CpGs: 1950640-1950641
cg12773325,chr11:2139330-2139331 - 2bp, 1CpGs: 16488228-16488229
cg18087943,chr11:2139310-2139311 - 2bp, 1CpGs: 16488226-16488227
cg12614029,chr11:2139334-2139335 - 2bp, 1CpGs: 16488229-16488230
cg14608156,chr11:2139324-2139325 - 2bp, 1CpGs: 16488227-16488228
cg04879832,chr16:88651048-88651049 - 2bp, 1CpGs: 22825534-22825535
cg08843517,chr16:88651056-88651057 - 2bp, 1CpGs: 22825535-22825536
cg03125427,chr16:88651074-88651075 - 2bp, 1CpGs: 22825538-22825539
cg07987843,chr12:3200329-3200330 - 2bp, 1CpGs: 17808673-17808674
cg13139203,chr11:63814159-63814160 - 2bp, 1CpGs: 17041956-17041957
cg26170066,chr6:31826982-31826983 - 2bp, 1CpGs: 9663505-9663506
cg19609502,chr22:39994953-39994954 - 2bp, 1CpGs: 27637429-27637430
cg20385508,chr2:127423253-127423254 - 2bp, 1CpGs: 3581022-3581023
cg04571847,chr19:24087205-24087206 - 2bp, 1CpGs: 25394364-25394365
cg08125719,chr1:205043321-205043322 - 2bp, 1CpGs: 1932006-1932007
cg09100988,chr11:66958490-66958491 - 2bp, 1CpGs: 17111305-17111306
cg12773325,chr11:2139330-2139331 - 2bp, 1CpGs: 16488228-16488229
cg18087943,chr11:2139310-2139311 - 2bp, 1CpGs: 16488226-16488227
cg12614029,chr11:2139334-2139335 - 2bp, 1CpGs: 16488229-16488230
cg14608156,chr11:2139324-2139325 - 2bp, 1CpGs: 16488227-16488228
cg03787864,chr16:88650726-88650727 - 2bp, 1CpGs: 22825509-22825510
cg21107197,chr14:50561143-50561144 - 2bp, 1CpGs: 20206256-20206257
cg26386472,chr12:121839454-121839455 - 2bp, 1CpGs: 18888168-18888169
cg16809962,chr16:21554942-21554943 - 2bp, 1CpGs: 22076046-22076047
cg14514032,chr2:74498079-74498080 - 2bp, 1CpGs: 3097322-3097323
cg21429745,chr2:74498081-74498082 - 2bp, 1CpGs: 3097323-3097324
cg12258307,chr21:31559622-31559623 - 2bp, 1CpGs: 26985522-26985523
cg02672397,chr16:87909552-87909553 - 2bp, 1CpGs: 22804279-22804280
cg10110271,chr16:87909576-87909577 - 2bp, 1CpGs: 22804283-22804284
cg03900851,chr8:66439533-66439534 - 2bp, 1CpGs: 13118731-13118732
cg23754431,chr11:69443596-69443597 - 2bp, 1CpGs: 17159435-17159436
cg24129382,chr3:119810311-119810312 - 2bp, 1CpGs: 5563515-5563516
cg25562664,chr3:119810301-119810302 - 2bp, 1CpGs: 5563514-5563515
cg12837552,chr17:17784108-17784109 - 2bp, 1CpGs: 23159458-23159459
cg26703661,chr15:89665684-89665685 - 2bp, 1CpGs: 21579547-21579548
cg07873178,chr11:65540145-65540146 - 2bp, 1CpGs: 17080636-17080637
cg00992153,chr8:22598608-22598609 - 2bp, 1CpGs: 12715467-12715468
cg03934689,chr8:22598579-22598580 - 2bp, 1CpGs: 12715464-12715465
cg05304177,chr3:134364238-134364239 - 2bp, 1CpGs: 5710904-5710905
cg00054525,chr16:88651179-88651180 - 2bp, 1CpGs: 22825547-22825548
cg08177833,chr16:88651129-88651130 - 2bp, 1CpGs: 22825544-22825545
cg06410591,chr19:6741170-6741171 - 2bp, 1CpGs: 25080687-25080688
cg13860006,chr19:6741167-6741168 - 2bp, 1CpGs: 25080686-25080687
cg22220467,chr19:42302076-42302077 - 2bp, 1CpGs: 25674940-25674941
cg00524108,chr19:42302051-42302052 - 2bp, 1CpGs: 25674938-25674939
cg04681368,chr19:42302032-42302033 - 2bp, 1CpGs: 25674935-25674936
cg10632000,chr19:42302049-42302050 - 2bp, 1CpGs: 25674937-25674938
cg05795596,chr4:153249631-153249632 - 2bp, 1CpGs: 7438231-7438232
cg22359388,chr4:153249670-153249671 - 2bp, 1CpGs: 7438232-7438233
cg12296532,chr17:81515155-81515156 - 2bp, 1CpGs: 24068449-24068450
cg02682457,chr6:152302252-152302253 - 2bp, 1CpGs: 10599270-10599271
cg05917732,chr6:152302169-152302170 - 2bp, 1CpGs: 10599258-10599259
cg14324370,chr2:176178061-176178062 - 2bp, 1CpGs: 3960242-3960243
cg20678442,chr1:244730201-244730202 - 2bp, 1CpGs: 2323727-2323728
cg12023625,chr6:152302344-152302345 - 2bp, 1CpGs: 10599279-10599280
cg20389472,chr2:170712016-170712017 - 2bp, 1CpGs: 3905894-3905895
cg10830145,chr5:88144304-88144305 - 2bp, 1CpGs: 8505248-8505249
cg19235339,chr10:88583142-88583143 - 2bp, 1CpGs: 15911298-15911299
cg13092806,chr2:176178527-176178528 - 2bp, 1CpGs: 3960289-3960290
cg08718097,chr1:23342299-23342300 - 2bp, 1CpGs: 413702-413703
cg23141355,chr3:44022101-44022102 - 2bp, 1CpGs: 4939034-4939035
cg11416243,chr10:11165944-11165945 - 2bp, 1CpGs: 15174808-15174809
cg08154437,chr19:16897839-16897840 - 2bp, 1CpGs: 25282656-25282657
cg16911981,chr7:70596149-70596150 - 2bp, 1CpGs: 11572754-11572755
cg16589135,chr3:44021912-44021913 - 2bp, 1CpGs: 4939021-4939022
cg09853371,chr4:56655979-56655980 - 2bp, 1CpGs: 6794723-6794724
cg24771349,chr3:187739687-187739688 - 2bp, 1CpGs: 6121834-6121835
cg03511806,chr5:66828973-66828974 - 2bp, 1CpGs: 8331420-8331421
cg05966978,chr10:11165474-11165475 - 2bp, 1CpGs: 15174771-15174772
cg05627029,chr10:120949019-120949020 - 2bp, 1CpGs: 16227211-16227212
cg11282936,chr19:16896837-16896838 - 2bp, 1CpGs: 25282581-25282582
cg24548833,chr19:16896887-16896888 - 2bp, 1CpGs: 25282582-25282583
cg11282936,chr19:16896837-16896838 - 2bp, 1CpGs: 25282581-25282582
cg24548833,chr19:16896887-16896888 - 2bp, 1CpGs: 25282582-25282583
cg05339066,chr10:88583409-88583410 - 2bp, 1CpGs: 15911325-15911326
cg18192294,chr10:88583447-88583448 - 2bp, 1CpGs: 15911328-15911329
cg11861709,chr10:88583463-88583464 - 2bp, 1CpGs: 15911330-15911331
cg10131095,chr10:88583417-88583418 - 2bp, 1CpGs: 15911326-15911327
cg06981182,chr10:88583451-88583452 - 2bp, 1CpGs: 15911329-15911330
cg06118999,chr10:88583435-88583436 - 2bp, 1CpGs: 15911327-15911328
cg08193650,chr2:43224729-43224730 - 2bp, 1CpGs: 2821096-2821097
cg16876647,chr2:43224703-43224704 - 2bp, 1CpGs: 2821092-2821093
cg27428578,chr15:28738585-28738586 - 2bp, 1CpGs: 20944618-20944619
cg00765312,chr12:85280916-85280917 - 2bp, 1CpGs: 18527188-18527189
cg11857997,chr5:3591878-3591879 - 2bp, 1CpGs: 7819609-7819610
cg17215170,chr2:111117366-111117367 - 2bp, 1CpGs: 3434479-3434480
cg15680720,chr2:170711902-170711903 - 2bp, 1CpGs: 3905885-3905886
cg21126344,chr17:72122979-72122980 - 2bp, 1CpGs: 23871854-23871855
cg17775621,chr10:11164875-11164876 - 2bp, 1CpGs: 15174742-15174743
cg12178980,chr10:11164907-11164908 - 2bp, 1CpGs: 15174744-15174745
cg11482422,chr10:11164850-11164851 - 2bp, 1CpGs: 15174741-15174742
cg25761326,chr10:11164829-11164830 - 2bp, 1CpGs: 15174740-15174741
cg26150462,chr10:11164905-11164906 - 2bp, 1CpGs: 15174743-15174744
cg10800833,chr4:56655491-56655492 - 2bp, 1CpGs: 6794680-6794681
cg11242791,chr19:10296282-10296283 - 2bp, 1CpGs: 25148542-25148543
cg16911349,chr19:10296259-10296260 - 2bp, 1CpGs: 25148540-25148541
cg06907708,chr19:18225267-18225268 - 2bp, 1CpGs: 25314186-25314187
cg08554295,chr5:59894107-59894108 - 2bp, 1CpGs: 8283679-8283680
cg12436377,chr5:88144479-88144480 - 2bp, 1CpGs: 8505260-8505261
cg09451457,chr5:88144429-88144430 - 2bp, 1CpGs: 8505255-8505256
cg07040834,chr3:44022049-44022050 - 2bp, 1CpGs: 4939027-4939028
cg03012726,chr7:114082703-114082704 - 2bp, 1CpGs: 11986681-11986682
cg21601919,chr5:171450928-171450929 - 2bp, 1CpGs: 9152496-9152497
cg09874289,chr19:16897382-16897383 - 2bp, 1CpGs: 25282618-25282619
cg09384411,chr3:44022264-44022265 - 2bp, 1CpGs: 4939049-4939050
cg01064265,chr16:55329146-55329147 - 2bp, 1CpGs: 22403012-22403013
cg12602409,chr2:176174840-176174841 - 2bp, 1CpGs: 3960170-3960171
cg17775621,chr10:11164875-11164876 - 2bp, 1CpGs: 15174742-15174743
cg11482422,chr10:11164850-11164851 - 2bp, 1CpGs: 15174741-15174742
cg25761326,chr10:11164829-11164830 - 2bp, 1CpGs: 15174740-15174741
cg04249706,chr10:11164809-11164810 - 2bp, 1CpGs: 15174739-15174740
cg23976499,chr10:11165564-11165565 - 2bp, 1CpGs: 15174774-15174775
cg08193650,chr2:43224729-43224730 - 2bp, 1CpGs: 2821096-2821097
cg16876647,chr2:43224703-43224704 - 2bp, 1CpGs: 2821092-2821093
cg13729210,chr5:3606447-3606448 - 2bp, 1CpGs: 7820433-7820434
cg11482422,chr10:11164850-11164851 - 2bp, 1CpGs: 15174741-15174742
cg25761326,chr10:11164829-11164830 - 2bp, 1CpGs: 15174740-15174741
cg04249706,chr10:11164809-11164810 - 2bp, 1CpGs: 15174739-15174740
cg04933208,chr1:29259902-29259903 - 2bp, 1CpGs: 509992-509993
cg26884027,chr1:29259906-29259907 - 2bp, 1CpGs: 509993-509994
cg13294849,chr3:181723783-181723784 - 2bp, 1CpGs: 6051037-6051038
cg11487526,chr17:6455608-6455609 - 2bp, 1CpGs: 23001431-23001432
cg08928882,chr8:76681127-76681128 - 2bp, 1CpGs: 13196258-13196259
cg21845953,chr8:76681125-76681126 - 2bp, 1CpGs: 13196257-13196258
cg03152288,chr2:176178214-176178215 - 2bp, 1CpGs: 3960269-3960270
cg03859732,chr15:42208539-42208540 - 2bp, 1CpGs: 21090373-21090374
cg14774557,chr15:42208499-42208500 - 2bp, 1CpGs: 21090369-21090370
cg21968580,chr1:78004956-78004957 - 2bp, 1CpGs: 980339-980340
cg17760391,chr5:66828673-66828674 - 2bp, 1CpGs: 8331414-8331415
cg09728102,chr5:66828664-66828665 - 2bp, 1CpGs: 8331413-8331414
cg01406988,chr2:66435678-66435679 - 2bp, 1CpGs: 3017487-3017488
cg17775621,chr10:11164875-11164876 - 2bp, 1CpGs: 15174742-15174743
cg12178980,chr10:11164907-11164908 - 2bp, 1CpGs: 15174744-15174745
cg26150462,chr10:11164905-11164906 - 2bp, 1CpGs: 15174743-15174744
cg17775621,chr10:11164875-11164876 - 2bp, 1CpGs: 15174742-15174743
cg11482422,chr10:11164850-11164851 - 2bp, 1CpGs: 15174741-15174742
cg25761326,chr10:11164829-11164830 - 2bp, 1CpGs: 15174740-15174741
cg04249706,chr10:11164809-11164810 - 2bp, 1CpGs: 15174739-15174740
cg20396510,chr5:66828760-66828761 - 2bp, 1CpGs: 8331417-8331418
